Compound Code,PubChem ID,PubChem SMILES,mol SMILES,equal SMILES
NA_ACAN_00001,667496,,,
NA_ACAN_00002,442935,,,
NA_ACAN_00003,,,,
NA_ACAN_00004,442884,,,
NA_ACAN_00005,,,,
NA_ACAN_00006,,,,
NA_ACAN_00008,132525730,,,
NA_ACAN_00009,,,,
NA_ACAN_00010,132525731,,,
NA_ACAN_00011,132562010,,,
NA_ACAN_00012,132562011,,,
NA_ACAN_00014,161389,,,
NA_ACAN_00015,57380591,,,
NA_ACAN_00016,179389,,,
NA_ACAN_00018,5316891,,,
NA_ACAN_00021,57332509,,,
NA_ACAN_00022,,,,
NA_ACAN_00023,,,,
NA_AIZO_00001,129830080,,,
NA_AIZO_00002,,,,
NA_AIZO_00003,,,,
NA_AIZO_00004,,,,
NA_AIZO_00005,,,,
NA_AIZO_00006,14312558,,,
NA_ALCY_00001,,,,
NA_ALCY_00002,100068,,,
NA_ALCY_00003,15934381,,,
NA_ALCY_00004,,,,
NA_ALCY_00005,,,,
NA_ALCY_00006,,,,
NA_ALCY_00007,,,,
NA_ALCY_00008,,,,
NA_ALCY_00009,,,,
NA_ALCY_00010,127035604,,,
NA_ALCY_00011,,,,
NA_ALCY_00012,,,,
NA_ALCY_00013,,,,
NA_ALCY_00014,133550422,,,
NA_ALCY_00015,,,,
NA_ALCY_00016,,,,
NA_ALCY_00017,,,,
NA_ALCY_00020,5289155,,,
NA_ALCY_00021,,,,
NA_ALCY_00022,,,,
NA_ALCY_00023,,,,
NA_ALCY_00024,,,,
NA_ALCY_00025,,,,
NA_ALCY_00028,,,,
NA_ALCY_00030,,,,
NA_ALCY_00031,15523780,,,
NA_ALCY_00033,,,,
NA_ALCY_00034,,,,
NA_ALCY_00035,,,,
NA_ALCY_00036,,,,
NA_ALCY_00037,,,,
NA_ALCY_00039,,,,
NA_ALCY_00040,100068,,,
NA_ALCY_00041,,,,
NA_ALYS_00001,5280704,,,
NA_ALYS_00003,,,,
NA_ALYS_00005,,,,
NA_ALYS_00006,,,,
NA_ALYS_00008,,,,
NA_AMAR_00001,,,,
NA_AMAR_00002,,,,
NA_AMAR_00003,,,,
NA_AMAR_00004,,,,
NA_AMAR_00005,,,,
NA_AMAR_00006,,,,
NA_AMAR_00007,,,,
NA_AMAR_00008,,,,
NA_AMAR_00010,5352115,,,
NA_AMAR_00012,,,,
NA_AMAR_00013,,,,
NA_AMAR_00014,,,,
NA_AMAR_00015,,,,
NA_AMAR_00016,,,,
NA_AMAR_00020,443683,,,
NA_AMAR_00023,9838394,,,
NA_AMAR_00024,3449,,,
NA_AMAR_00025,25147570,,,
NA_AMAR_00028,,,,
NA_AMAR_00029,,,,
NA_AMAR_00032,,,,
NA_AMAR_00038,,,,
NA_AMAR_00048,443683,,,
NA_AMAR_00049,441589,,,
NA_AMAR_00050,102125342,,,
NA_AMAR_00052,,,,
NA_AMAR_00054,,,,
NA_AMAR_00055,443725,,,
NA_AMAR_00056,25147570,,,
NA_AMAR_00058,375117,,,
NA_AMAR_00059,73360,,,
NA_AMAR_00060,160473,,,
NA_AMAR_00061,441583,,,
NA_AMAR_00062,573106,,,
NA_AMAR_00067,9838394,,,
NA_AMAR_00068,,,,
NA_AMAR_00071,72695729,,,
NA_AMAR_00074,443683,,,
NA_AMAR_00083,9838394,,,
NA_AMAR_00084,,,,
NA_AMAR_00087,72695729,,,
NA_AMAR_00090,443683,,,
NA_ANAC_00005,5281599,,,
NA_ANAC_00006,,,,
NA_ANNO_00001,,,,
NA_ANNO_00002,,,,
NA_ANNO_00003,,,,
NA_ANNO_00004,,,,
NA_ANNO_00006,5318767,,,
NA_APIA_00001,441966,,,
NA_APIA_00002,6716,,,
NA_APIA_00003,3828,,,
NA_APIA_00004,6443968,,,
NA_APIA_00006,,,,
NA_APIA_00007,,,,
NA_APIA_00011,,,,
NA_APIA_00012,,,,
NA_APIA_00013,,,,
NA_APIA_00015,44257827,,,
NA_APIA_00018,,,,
NA_APIA_00020,91370,,,
NA_APIA_00021,129730334,,,
NA_APIA_00023,,,,
NA_APIA_00024,,,,
NA_APIA_00025,,,,
NA_APIA_00026,3085257,,,
NA_APIA_00027,11116832,,,
NA_APIA_00031,637308,,,
NA_APIA_00032,,,,
NA_APIA_00033,,,,
NA_APIA_00034,,,,
NA_APIA_00035,101098620,,,
NA_APIA_00036,,,,
NA_APIA_00037,,,,
NA_APIA_00038,,,,
NA_APIA_00039,,,,
NA_APIA_00040,,,,
NA_APIA_00041,,,,
NA_APIA_00042,,,,
NA_APIA_00043,,,,
NA_APIA_00044,,,,
NA_APIA_00045,,,,
NA_APIA_00046,,,,
NA_APIA_00047,,,,
NA_APIA_00048,,,,
NA_APIA_00049,,,,
NA_APIA_00052,,,,
NA_APIA_00053,,,,
NA_APIA_00054,,,,
NA_APIA_00055,98608,,,
NA_APIA_00056,6450230,,,
NA_APIA_00057,44146779,,,
NA_APIA_00058,,,,
NA_APIA_00059,,,,
NA_APIA_00060,,,,
NA_APIA_00061,3084335,,,
NA_APIA_00062,101432435,,,
NA_APIA_00063,14312562,,,
NA_APIA_00064,,,,
NA_APIA_00065,,,,
NA_APOC_00001,10385736,,,
NA_APOC_00002,,,,
NA_APOC_00003,,,,
NA_APOC_00004,,,,
NA_APOC_00005,208024,,,
NA_APOC_00006,,,,
NA_APOC_00008,20055381,,,
NA_APOC_00011,,,,
NA_APOC_00012,14134968,,,
NA_APOC_00013,11261800,,,
NA_APOC_00014,,,,
NA_APOC_00015,30101,,,
NA_APOC_00016,11876182,,,
NA_APOC_00017,,,,
NA_APOC_00018,,,,
NA_APOC_00019,,,,
NA_APOC_00020,,,,
NA_APOC_00021,,,,
NA_APOC_00023,13342,,,
NA_APOC_00024,5978,,,
NA_APOC_00025,5458190,,,
NA_APOC_00026,260535,,,
NA_APOC_00027,15376,,,
NA_APOC_00028,,,,
NA_APOC_00029,73391,,,
NA_APOC_00030,,,,
NA_APOC_00031,,,,
NA_APOC_00033,92760,,,
NA_APOC_00034,12310320,,,
NA_APOC_00036,,,,
NA_APOC_00037,,,,
NA_APOC_00038,,,,
NA_APOC_00040,580281,,,
NA_APOC_00041,22214027,,,
NA_APOC_00042,24360,,,
NA_APOC_00043,97226,,,
NA_APOC_00044,,,,
NA_APOC_00045,441992,,,
NA_APOC_00046,260534,,,
NA_APOC_00065,100996852,,,
NA_APOC_00067,,,,
NA_APOC_00068,,,,
NA_APOC_00069,,,,
NA_APOC_00070,,,,
NA_ARAB_00002,5282102,,,
NA_ARAB_00003,10095180,,,
NA_ARAB_00004,,,,
NA_ARAB_00005,,,,
NA_ARAB_00006,25080064,,,
NA_ARAB_00007,,,,
NA_ARAU_00001,,,,
NA_ARAU_00002,,,,
NA_ARAU_00003,,,,
NA_ARAU_00004,,,,
NA_ARAU_00005,29212,,,
NA_ARAU_00006,,,,
NA_ARAU_00007,,,,
NA_ARAU_00008,10394,,,
NA_ARAU_00009,13888658,,,
NA_ARAU_00010,,,,
NA_AREC_00001,,,,
NA_AREC_00002,,,,
NA_AREC_00010,637541,,,
NA_AREC_00012,13996716,,,
NA_AREC_00013,195318,,,
NA_AREC_00014,,,,
NA_AREC_00015,,,,
NA_AREC_00019,5281787,,,
NA_AREC_00021,13250,,,
NA_AREC_00023,10393,,,
NA_AREC_00024,5488886,,,
NA_AREC_00025,5375199,,,
NA_AREC_00026,68146,,,
NA_AREC_00029,70697783,,,
NA_AREC_00031,68077,,,
NA_AREC_00034,5282918,,,
NA_AREC_00035,3712,,,
NA_AREC_00036,3071,,,
NA_AREC_00037,,,,
NA_AREC_00038,72276,,,
NA_AREC_00039,443639,,,
NA_AREC_00042,7428,,,
NA_AREC_00046,,,,
NA_AREC_00047,72188972,,,
NA_AREC_00048,,,,
NA_AREC_00050,484758,,,
NA_AREC_00051,,,,
NA_AREC_00055,311,,,
NA_AREC_00056,,,,
NA_AREC_00058,,,,
NA_AREC_00059,,,,
NA_AREC_00060,,,,
NA_AREC_00061,,,,
NA_AREC_00062,102132636,,,
NA_AREC_00063,,,,
NA_AREC_00064,,,,
NA_AREC_00065,102505446,,,
NA_AREC_00066,,,,
NA_AREC_00067,5458896,,,
NA_AREC_00068,5458999,,,
NA_AREC_00069,,,,
NA_AREC_00070,460888,,,
NA_AREC_00072,9839084,,,
NA_AREC_00076,,,,
NA_ASCL_00009,100996852,,,
NA_ASPA_00003,,,,
NA_ASPA_00004,,,,
NA_ASPA_00005,,,,
NA_ASPA_00006,,,,
NA_ASPA_00007,,,,
NA_ASPA_00008,,,,
NA_ASPA_00009,,,,
NA_ASPA_00010,,,,
NA_ASPA_00011,,,,
NA_ASPA_00012,,,,
NA_ASTE_00004,,,,
NA_ASTE_00005,101666841,,,
NA_ASTE_00007,4063834,,,
NA_ASTE_00008,,,,
NA_ASTE_00009,10748,,,
NA_ASTE_00010,11139042,,,
NA_ASTE_00011,,,,
NA_ASTE_00012,,,,
NA_ASTE_00013,,,,
NA_ASTE_00014,,,,
NA_ASTE_00015,,,,
NA_ASTE_00016,,,,
NA_ASTE_00017,5321970,,,
NA_ASTE_00018,,,,
NA_ASTE_00020,14466188,,,
NA_ASTE_00021,5281691,,,
NA_ASTE_00022,,,,
NA_ASTE_00023,,,,
NA_ASTE_00025,,,,
NA_ASTE_00026,9799386,,,
NA_ASTE_00027,,,,
NA_ASTE_00028,,,,
NA_ASTE_00029,,,,
NA_ASTE_00030,182073,,,
NA_ASTE_00037,5281613,,,
NA_ASTE_00038,,,,
NA_ASTE_00039,6476139,,,
NA_ASTE_00040,5281762,,,
NA_ASTE_00045,,,,
NA_ASTE_00046,,,,
NA_ASTE_00048,10333020,,,
NA_ASTE_00049,,,,
NA_ASTE_00050,,,,
NA_ASTE_00051,,,,
NA_ASTE_00052,,,,
NA_ASTE_00053,,,,
NA_ASTE_00054,10739390,,,
NA_ASTE_00055,44566534,,,
NA_ASTE_00056,,,,
NA_ASTE_00057,,,,
NA_ASTE_00059,15786263,,,
NA_ASTE_00060,,,,
NA_ASTE_00061,,,,
NA_ASTE_00062,15786264,,,
NA_ASTE_00066,,,,
NA_ASTE_00067,,,,
NA_ASTE_00069,,,,
NA_ASTE_00070,9930064,,,
NA_ASTE_00078,,,,
NA_ASTE_00079,119039,,,
NA_ASTE_00080,14038398,,,
NA_ASTE_00082,15281118,,,
NA_ASTE_00083,6602508,,,
NA_ASTE_00087,,,,
NA_ASTE_00088,101254614,,,
NA_ASTE_00089,101254615,,,
NA_ASTE_00090,,,,
NA_ASTE_00091,442147,,,
NA_ASTE_00092,152430,,,
NA_ASTE_00096,,,,
NA_ASTE_00098,182497,,,
NA_ASTE_00101,,,,
NA_ASTE_00102,57096377,,,
NA_ASTE_00103,,,,
NA_ASTE_00104,,,,
NA_ASTE_00105,,,,
NA_ASTE_00106,,,,
NA_ASTE_00107,,,,
NA_ASTE_00108,,,,
NA_ASTE_00109,,,,
NA_ASTE_00122,5282160,,,
NA_ASTE_00123,5320863,,,
NA_ASTE_00125,442439,,,
NA_ASTE_00127,5281614,,,
NA_ASTE_00129,5281670,,,
NA_ASTE_00131,99474,,,
NA_ASTE_00132,31553,,,
NA_ASTE_00133,,,,
NA_ASTE_00134,,,,
NA_ASTE_00135,,,,
NA_ASTE_00140,,,,
NA_ASTE_00141,14849116,,,
NA_ASTE_00143,441663,,,
NA_ASTE_00144,,,,
NA_ASTE_00145,10389806,,,
NA_ASTE_00146,,,,
NA_ASTE_00147,,,,
NA_ASTE_00149,,,,
NA_ASTE_00150,,,,
NA_ASTE_00154,13844658,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
